id,start,game,p1,s1,p2,s2,p3,s3,p4,s4,p5,s5,p6,s6
2020-06-28-PM-01,2020-05-28T16:30-0700,18Chesapeake,phil,5365,ex-raven,5459,deniz,4916,espee,4921,kelly,4904,,
2020-06-28-PM-02,2020-05-28T16:30-0700,1848,orca-willy,4031,shaz,5432,shirleydulcey,5771,markmenm,4426,thecardboardbox,3513,,
2020-06-28-PM-03,2020-05-28T16:30-0700,18NEB,18xxperson,4740,islandia,5357,beardbru,4524,abnrgr,4288,,,,
2020-06-28-AM-01,2020-05-28T08:30-0700,1832,triplejalltheway,7794,mjshaver,7206,jon_g,9151,pgh_gamer,7392,,,,
2020-06-28-AM-02,2020-05-28T08:30-0700,18Chesapeake,18xxperson,4649,claudius,3722,deniz,5011,phil,3838,dix,2724,,
2020-06-28-AM-03,2020-05-28T08:30-0700,1844,chris-shaffer,2028,talbatross,1947,jeffheuer,2097,stormcrow,1569,ken-boucher,3242,,
2020-06-27-PM-01,2020-05-27T16:30-0700,1882,cheesinglee,3544,jon_g,3688,pgh_gamer,3445,chichi,3419,scott-petersen,4774,orca-willy,3497
2020-06-27-PM-02,2020-05-27T16:30-0700,1882,shaz,1214,thecardboardbox,794,outsidepasser,1428,,,,,,
2020-06-27-PM-03,2020-05-27T16:30-0700,1860,jaysixa,8376,18xxperson,9277,mjshaver,5939,,,,,,
2020-06-27-PM-04,2020-05-27T16:30-0700,1817,islandia,5510,talbatross,3521,andy-mesa,3630,markmenm,2107,,,,
2020-06-27-PM-05,2020-05-27T16:30-0700,1861,stormcrow,4129,chris-shaffer,4235,phil,3344,beardbru,5067,ex-raven,3697,,
2020-06-27-AM-01,2020-05-27T08:30-0700,1849,thecardboardbox,1033,chichi,938,andy-mesa,963,mjshaver,1072,,,,
2020-06-27-AM-02,2020-05-27T08:30-0700,1822+,chris-shaffer,8468,18xxperson,7221,kelvin-ho,11719,shaz,7895,daroj,10976,,
2020-06-27-AM-03,2020-05-27T08:30-0700,18NE,abnrgr,10011,scott-petersen,10596,markmenm,9598,espee,10074,,,,
2020-06-27-AM-04,2020-05-27T08:30-0700,1862EA,ex-raven,6271,beardbru,8798,outsidepasser,4212,stormcrow,2395,,,,
2020-06-27-AM-05,2020-05-27T08:30-0700,1822MRS,neutron,6561,clayton,5469,adam1515,5802,jon-draper,8703,jeffheuer,5614,,
2020-06-26-PM-01,2020-05-26T16:30-0700,1846,cheesinglee,5376,shirleydulcey,5972,beardbru,7083,espee,4883,rail-baron,6703,,
2020-06-26-PM-02,2020-05-26T16:30-0700,18Mex,18xxperson,1120,pgh_gamer,717,orca-willy,822,talbatross,495,,,,
2020-06-26-PM-03,2020-05-26T16:30-0700,1835,ex-raven,7681,mjshaver,5976,markmenm,6404,chichi,4081,,,,
2020-06-26-PM-04,2020-05-26T16:30-0700,1889,phil,2061,andy-mesa,2132,deniz,2599,,,,,,
2020-06-26-PM-05,2020-05-26T16:30-0700,1837Jr,scott-petersen,969,jeffheuer,1133,abnrgr,1260,,,,,,
2020-06-26-AM-01,2020-05-26T08:30-0700,2038,18xxperson,11936,abnrgr,10601,jaysixa,10801,islandia,12876,,,,
2020-06-26-AM-02,2020-05-26T08:30-0700,18Chesapeake,thecardboardbox,4255,espee,5837,rail-baron,5741,claudius,5519,jeffheuer,6478,,
2020-06-26-AM-03,2020-05-26T08:30-0700,18NY,jon_g,8131,pgh_gamer,6487,beardbru,9827,chichi,5474,cheesinglee,7944,,
2020-06-26-AM-04,2020-05-26T08:30-0700,1880,outsidepasser,4303,kelly,5543,mjshaver,3645,stormcrow,3427,orca-willy,6248,jon-draper,6049
2020-06-26-AM-05,2020-05-26T08:30-0700,1830,andy-mesa,1309,phil,1665,ex-raven,1106,triplejalltheway,116,,,,
2020-06-26-AM-06,2020-05-26T08:30-0700,1830,markmenm,300,mikewill,800,adam1515,791,,,,,,
2020-06-25-PM-01,2020-05-25T16:30-0700,1846,shirleydulcey,,beardbru,,thecardboardbox,,ex-raven,,,,,
2020-06-25-PM-02,2020-05-25T16:30-0700,1832,triplejalltheway,,espee,,andy-mesa,,markmenm,,,,,
2020-06-25-PM-03,2020-05-25T16:30-0700,18EU,jaysixa,5209,18xxperson,7827,mikewill,6265,karazak,4589,espee,5914,,
2020-06-25-PM-04,2020-05-25T16:30-0700,1832,talbatross,,kelvin-ho,,chichi,,,,,,,
2020-06-25-AM-01,2020-05-25T08:30-0700,18OE,abnrgr,,chichi,,clayton,,neutron,,,,,
2020-06-25-AM-02,2020-05-25T08:30-0700,1822MX,18xxperson,8104,mjshaver,9370,orca-willy,8621,espee,6362,,,,
2020-06-25-AM-03,2020-05-25T08:30-0700,1880,triplejalltheway,,beardbru,,jeffheuer,,kelvin-ho,,,,,
2020-06-25-AM-04,2020-05-25T08:30-0700,1835,ex-raven,,shirleydulcey,,phil,,,,,,,
